 EventNumber     Modality    Direction              Speed        Onset          End     Duration 
           1       visual           -1         6.00      2.00130      2.23163      0.23033 
           2       visual           -1         6.00      2.23649      2.46371      0.22721 
           3       visual           -1         6.00      2.46453      2.68076      0.21623 
           4       visual           -1         6.00      2.68186      2.89714      0.21529 
           5       visual            0         6.00      2.90020      3.11454      0.21434 
           6       visual           -1         6.00      3.11911      3.33014      0.21103 
           7       visual           -1         6.00      3.33057      3.54667      0.21610 
           8       visual           -1         6.00      3.54703      3.76355      0.21652 
           9       visual           -1         6.00      3.76405      3.97989      0.21584 
          10       visual          180         6.00      3.98025      4.19640      0.21615 
          11       visual           -1         6.00      4.19688      4.41356      0.21668 
          12       visual           -1         6.00      4.41392      4.63019      0.21627 
          13       visual           -1         6.00      4.63058      4.84656      0.21598 
          14       visual           -1         6.00      4.84691      5.06309      0.21618 
          15       visual            0         6.00      5.06353      5.28028      0.21675 
          16       visual           -1         6.00      5.28065      5.49658      0.21593 
          17       visual           -1         6.00      5.49698      5.71340      0.21642 
          18       visual           -1         6.00      5.71380      5.92973      0.21593 
          19       visual           -1         6.00      5.93011      6.14626      0.21615 
          20       visual          180         6.00      6.14647      6.34638      0.19991 
          21       visual           -1         6.00      6.34680      6.56312      0.21632 
          22       visual           -1         6.00      6.56342      6.77966      0.21624 
          23       visual           -1         6.00      6.77994      6.99664      0.21670 
          24       visual           -1         6.00      6.99693      7.21379      0.21686 
          25       visual            0         6.00      7.21417      7.42980      0.21564 
          26       visual           -1         6.00      7.43023      7.64622      0.21599 
          27       visual           -1         6.00      7.64662      7.86319      0.21657 
          28       visual           -1         6.00      7.86349      8.07962      0.21613 
          29       visual           -1         6.00      8.08000      8.27985      0.19985 
          30       visual          180         6.00      8.28028      8.49612      0.21584 
          31       visual           -1         6.00      8.49648      8.71198      0.21550 
          32       visual           -1         6.00      8.71227      8.91226      0.19999 
          33       visual           -1         6.00      8.91449      9.12939      0.21490 
          34       visual           -1         6.00      9.12968      9.32925      0.19956 
          35       visual            0         6.00      9.32955      9.52939      0.19985 
          36       visual           -1         6.00      9.52977      9.72951      0.19974 
          37       visual           -1         6.00      9.72981      9.94584      0.21603 
          38       visual           -1         6.00      9.94618     10.14593      0.19975 
          39       visual           -1         6.00     10.14627     10.34631      0.20004 
          40       visual          180         6.00     10.34661     10.56283      0.21622 
          41       visual           -1         6.00     10.56313     10.77920      0.21607 
          42       visual           -1         6.00     10.77949     10.99569      0.21620 
          43       visual           -1         6.00     10.99608     11.19584      0.19976 
          44       visual           -1         6.00     11.19614     11.39608      0.19994 
          45       visual            0         6.00     11.39663     11.61211      0.21548 
          46       visual           -1         6.00     11.61248     11.81268      0.20020 
          47       visual           -1         6.00     11.81305     12.02915      0.21611 
          48       visual           -1         6.00     12.02945     12.23566      0.20621 
          49       visual           -1         6.00     12.23595     12.44641      0.21046 
          50       visual          180         6.00     12.44679     12.66230      0.21551 
          51       visual           -1         6.00     12.66267     12.86241      0.19974 
          52       visual           -1         6.00     12.86279     13.06252      0.19973 
          53       visual           -1         6.00     13.06281     13.26233      0.19952 
          54       visual           -1         6.00     13.26271     13.46246      0.19976 
          55       visual            0         6.00     13.46292     13.66236      0.19943 
          56       visual           -1         6.00     13.66273     13.86230      0.19957 
          57       visual           -1         6.00     13.86269     14.06181      0.19912 
          58       visual           -1         6.00     14.06218     14.24562      0.18345 
          59       visual           -1         6.00     14.24604     14.44559      0.19955 
          60       visual          180         6.00     14.44596     14.64527      0.19931 
          61       visual           -1         6.00     14.64567     14.84479      0.19912 
          62       visual           -1         6.00     14.84516     15.04570      0.20054 
          63       visual           -1         6.00     15.04608     15.24553      0.19945 
          64       visual           -1         6.00     15.24581     15.44549      0.19968 
          65       visual            0         6.00     15.44584     15.64566      0.19982 
          66       visual           -1         6.00     15.64603     15.84520      0.19917 
          67       visual           -1         6.00     15.84549     16.04545      0.19996 
          68       visual           -1         6.00     16.04582     16.22871      0.18289 
          69       visual           -1         6.00     16.22901     16.42856      0.19955 
          70       visual          180         6.00     16.42898     16.62870      0.19972 
          71       visual           -1         6.00     16.62911     16.82864      0.19953 
          72       visual           -1         6.00     16.82893     17.02759      0.19865 
          73       visual           -1         6.00     17.02798     17.22869      0.20071 
          74       visual           -1         6.00     17.22899     17.42867      0.19968 
          75       visual            0         6.00     17.42899     17.62925      0.20027 
          76       visual           -1         6.00     17.62962     17.82862      0.19900 
          77       visual           -1         6.00     17.82891     18.02845      0.19954 
          78       visual           -1         6.00     18.02884     18.21927      0.19043 
          79       visual           -1         6.00     18.21963     18.42832      0.20869 
          80       visual          180         6.00     18.42860     18.62832      0.19972 
          81       visual           -1         6.00     18.62860     18.82840      0.19980 
          82       visual           -1         6.00     18.82869     19.02822      0.19953 
          83       visual           -1         6.00     19.02851     19.22842      0.19991 
          84       visual           -1         6.00     19.22879     19.42826      0.19947 
          85       visual            0         6.00     19.42864     19.62792      0.19928 
          86       visual           -1         6.00     19.62835     19.82813      0.19978 
          87       visual           -1         6.00     19.82842     20.02815      0.19973 
          88       visual           -1         6.00     20.02843     20.22008      0.19165 
          89       visual           -1         6.00     20.22054     20.41146      0.19092 
          90       visual          180         6.00     20.41182     20.61144      0.19962 
          91       visual           -1         6.00     20.61174     20.81146      0.19972 
          92       visual           -1         6.00     20.81175     21.01148      0.19973 
          93       visual           -1         6.00     21.01177     21.20186      0.19009 
          94       visual           -1         6.00     21.20215     21.41100      0.20885 
          95       visual            0         6.00     21.41128     21.61132      0.20003 
          96       visual           -1         6.00     21.61170     21.81090      0.19921 
          97       visual           -1         6.00     21.81128     22.01152      0.20024 
          98       visual           -1         6.00     22.01189     22.20092      0.18902 
          99       visual           -1         6.00     22.20121     22.41204      0.21084 
         100       visual          180         6.00     22.41242     22.61081      0.19839 
         101       visual           -1         6.00     22.61119     22.81088      0.19969 
         102       visual           -1         6.00     22.81126     23.01131      0.20005 
         103       visual           -1         6.00     23.01159     23.21117      0.19958 
         104       visual           -1         6.00     23.21145     23.41114      0.19969 
         105       visual            0         6.00     23.41151     23.61046      0.19895 
         106       visual           -1         6.00     23.61074     23.81117      0.20043 
         107       visual           -1         6.00     23.81157     24.01114      0.19957 
         108       visual           -1         6.00     24.01152     24.20119      0.18967 
         109       visual           -1         6.00     24.20149     24.39454      0.19305 
         110       visual          180         6.00     24.39483     24.59429      0.19946 
         111       visual           -1         6.00     24.59457     24.79438      0.19981 
         112       visual           -1         6.00     24.79467     24.99442      0.19975 
         113       visual           -1         6.00     24.99480     25.19448      0.19968 
         114       visual           -1         6.00     25.19476     25.39426      0.19950 
         115       visual            0         6.00     25.39455     25.59444      0.19989 
         116       visual           -1         6.00     25.59473     25.79439      0.19966 
         117       visual           -1         6.00     25.79476     25.99441      0.19965 
         118       visual           -1         6.00     25.99478     26.19427      0.19949 
         119       visual           -1         6.00     26.19467     26.39477      0.20010 
         120       visual          180         6.00     26.39515     26.59440      0.19925 
         121       visual           -1         6.00     26.59469     26.79405      0.19936 
         122       visual           -1         6.00     26.79433     26.99444      0.20012 
         123       visual           -1         6.00     26.99472     27.19356      0.19883 
         124       visual           -1         6.00     27.19384     27.39432      0.20048 
         125       visual            0         6.00     27.39473     27.59402      0.19929 
